Daily hospital occupancy,value_t-1,value_t-2,value_t-3,value_t-4,value_t-5,value_t-6,value_t-7,country_Belgium,country_Croatia,country_Cyprus,country_Czechia,country_Denmark,country_Estonia,country_Iceland,country_Ireland,country_Italy,country_Lithuania,country_Netherlands,country_Norway,country_Portugal,country_Slovenia,country_Spain
263,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,263,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
493,370,263,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
646,493,370,263,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,646,493,370,263,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1108,840,646,493,370,263,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1384,1108,840,646,493,370,263,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1661,1384,1108,840,646,493,370,263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1883,1661,1384,1108,840,646,493,370,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2204,1883,1661,1384,1108,840,646,493,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2721,2204,1883,1661,1384,1108,840,646,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3111,2721,2204,1883,1661,1384,1108,840,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3649,3111,2721,2204,1883,1661,1384,1108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4088,3649,3111,2721,2204,1883,1661,1384,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4536,4088,3649,3111,2721,2204,1883,1661,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4897,4536,4088,3649,3111,2721,2204,1883,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4988,4897,4536,4088,3649,3111,2721,2204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5219,4988,4897,4536,4088,3649,3111,2721,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5398,5219,4988,4897,4536,4088,3649,3111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5562,5398,5219,4988,4897,4536,4088,3649,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5531,5562,5398,5219,4988,4897,4536,4088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5620,5531,5562,5398,5219,4988,4897,4536,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5759,5620,5531,5562,5398,5219,4988,4897,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5710,5759,5620,5531,5562,5398,5219,4988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5620,5710,5759,5620,5531,5562,5398,5219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5640,5620,5710,5759,5620,5531,5562,5398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5663,5640,5620,5710,5759,5620,5531,5562,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5538,5663,5640,5620,5710,5759,5620,5531,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5542,5538,5663,5640,5620,5710,5759,5620,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5554,5542,5538,5663,5640,5620,5710,5759,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5532,5554,5542,5538,5663,5640,5620,5710,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5331,5532,5554,5542,5538,5663,5640,5620,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5181,5331,5532,5554,5542,5538,5663,5640,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5088,5181,5331,5532,5554,5542,5538,5663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4889,5088,5181,5331,5532,5554,5542,5538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4940,4889,5088,5181,5331,5532,5554,5542,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4996,4940,4889,5088,5181,5331,5532,5554,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4765,4996,4940,4889,5088,5181,5331,5532,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4527,4765,4996,4940,4889,5088,5181,5331,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4353,4527,4765,4996,4940,4889,5088,5181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4195,4353,4527,4765,4996,4940,4889,5088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3957,4195,4353,4527,4765,4996,4940,4889,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3968,3957,4195,4353,4527,4765,4996,4940,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3976,3968,3957,4195,4353,4527,4765,4996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3733,3976,3968,3957,4195,4353,4527,4765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3609,3733,3976,3968,3957,4195,4353,4527,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3386,3609,3733,3976,3968,3957,4195,4353,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
